code,nom,type_site,localite_code,point_code,puissance_installee_kw,statut,commentaire
SITE-SOLAIRE-KINDIA-001,Site solaire prioritaire Kindia,SOLAIRE,LOC-FILIGBE,GPS-LOC-FILIGBE,850,EN_SERVICE,Site solaire centralisé pour localités Kindia
SITE-SOLAIRE-TELIMELE-001,Site solaire Télimélé,SOLAIRE,LOC-SECTEUR-HAFIA-I,GPS-LOC-SECTEUR-HAFIA-I,620,EN_CONSTRUCTION,Site solaire pour grappe Télimélé
SITE-HYDRO-FARANAH-001,Site hydro Faranah,HYDRO,LOC-KOUROUSSA-001,GPS-LOC-KOUROUSSA-001,1200,PLANIFIE,Point de référence pour hydro Faranah
SITE-HYBRIDE-MAMOU-001,Site hybride Mamou,HYBRIDE,LOC-MALEYA,GPS-LOC-MALEYA,980,PLANIFIE,Site hybride PV/Hydro Mamou référencé dans la base cartographique
SITE-SOLAIRE-KANKAN-001,Site solaire Kankan,SOLAIRE,LOC-KOUROUSSA-001,GPS-LOC-KOUROUSSA-001,740,PLANIFIE,Mini-réseau solaire Kankan
SITE-SOLAIRE-NZEREKORE-001,Site solaire Nzérékoré,SOLAIRE,LOC-GOLEAH,GPS-LOC-GOLEAH,1050,PLANIFIE,Site de référence accès universel Nzérékoré
SITE-STOCKAGE-KINDIA-001,Site stockage Kindia,STOCKAGE,LOC-MEYENYI,GPS-LOC-MEYENYI,300,PLANIFIE,Stockage associé au lot Kindia
SITE-DIESEL-SECOURS-001,Site diesel secours Kindia,DIESEL,LOC-GBEREAKHORY-CENTRE,GPS-LOC-GBEREAKHORY-CENTRE,180,PLANIFIE,Groupe secours pour continuité de service
SITE-SOLAIRE-GOLEAH-001,Site solaire Goleah,SOLAIRE,LOC-GOLEAH,GPS-LOC-GOLEAH,420,EN_SERVICE,Production solaire de proximité
SITE-SOLAIRE-KOLLY-001,Site solaire Kolly,SOLAIRE,LOC-KOLLY,GPS-LOC-KOLLY,560,EN_CONSTRUCTION,PV centralisé pour Kolly
SITE-SOLAIRE-SOINDE-001,Site solaire Soinde,SOLAIRE,LOC-SOINDE,GPS-LOC-SOINDE,380,PLANIFIE,Solaire rural Soinde
SITE-STOCKAGE-HAFIA-001,Stockage Hafia I,STOCKAGE,LOC-SECTEUR-HAFIA-I,GPS-LOC-SECTEUR-HAFIA-I,240,PLANIFIE,Stockage pour usage productif
SITE-HYBRIDE-MENYERE-001,Site hybride Menyere Ley,HYBRIDE,LOC-MENYERE-LEY,GPS-LOC-MENYERE-LEY,460,PLANIFIE,Hybridation locale PV/stockage
SITE-SOLAIRE-BORIRE-001,Site solaire Borire,SOLAIRE,LOC-BORIRE,GPS-LOC-BORIRE,120,PLANIFIE,Solution solaire décentralisée
SITE-SOLAIRE-HOUNSIRE-001,Site solaire Hounsire,SOLAIRE,LOC-HOUNSIRE,GPS-LOC-HOUNSIRE,160,PLANIFIE,Solution solaire décentralisée
SITE-SOLAIRE-NYALLE-001,Site solaire Nyalle,SOLAIRE,LOC-NYALLE,GPS-LOC-NYALLE,210,PLANIFIE,Mini centrale PV
SITE-SOLAIRE-BOKE-001,Site solaire référence Boké,SOLAIRE,LOC-BOSSERE-HAKKOUNDE,GPS-LOC-BOSSERE-HAKKOUNDE,670,PLANIFIE,Site proxy pour données cartographiques Boké
SITE-HYBRIDE-LABE-001,Site hybride référence Labé,HYBRIDE,LOC-PELLOUN-BALBHE,GPS-LOC-PELLOUN-BALBHE,520,PLANIFIE,Site proxy pour ZER-LABE
SITE-HYDRO-MAMOU-002,Site hydro référence Mamou,HYDRO,LOC-GOULGOUL-MISSIDE,GPS-LOC-GOULGOUL-MISSIDE,900,PLANIFIE,Site proxy hydro Mamou
SITE-STOCKAGE-NZEREKORE-001,Site stockage référence Nzérékoré,STOCKAGE,LOC-BANTANHI,GPS-LOC-BANTANHI,350,PLANIFIE,Stockage pour accès universel
SITE-KOUROUSSA-MT-001,Site raccordement Kouroussa,HYBRIDE,LOC-KOUROUSSA-001,GPS-KOUROUSSA-001,150,PLANIFIE,Site de raccordement prioritaire
SITE-SOUGUETA-PV-001,Site solaire Sougueta,SOLAIRE,LOC-SOUGUETA-001,GPS-SOUGUETA-001,250,PLANIFIE,Site solaire PV prioritaire
